id,week,week_start_date,obj_num,flw_get,last_flw_get,height_pl,num_leaf,len_leaf,width_leaf,unit_len,dim_pipe
20,23,2021.2.14 0:00,2,0,4,34.7,6,10.2,8.1,19.2,21.01
20,23,2021.2.14 0:00,3,2,4,35,6,8.5,5.5,13,23.49
20,23,2021.2.14 0:00,4,3,6,32.5,8,9.7,7.1,17.8,23.08
20,24,2021.2.21 0:00,1,2,2,37.1,6,12,8.2,20.3,21.17
20,24,2021.2.21 0:00,2,0,0,34.7,6,10.3,8.1,19.6,21.09
20,24,2021.2.21 0:00,3,0,2,35,7,6,4.4,15.3,23.51
20,24,2021.2.21 0:00,4,1,3,32.5,8,6.2,5.8,16.2,23.11
20,25,2021.2.28 0:00,1,5,2,37.4,7,4.9,4,14.6,21.19
20,25,2021.2.28 0:00,2,0,0,34.7,8,6.2,4.2,13.7,21.11
20,25,2021.2.28 0:00,3,0,0,35.2,10,6,4.6,11.7,23.57
20,25,2021.2.28 0:00,4,2,1,31.7,10,6.6,5.7,11.1,23.25
20,26,2021.3.7 0:00,1,10,5,35.1,6,7,6.8,14.1,19.95
20,26,2021.3.7 0:00,2,0,0,33,8,5.5,4,12.3,19.26
20,26,2021.3.7 0:00,3,2,0,35.4,11,5.8,4.5,10.1,22.19
20,26,2021.3.7 0:00,4,3,2,32.8,10,8.2,6.9,12.2,22.05
20,27,2021.3.14 0:00,1,11,10,35.1,7,9.9,8.1,19,19.91
20,27,2021.3.14 0:00,2,0,0,30,9,7.1,5.6,14.9,19.22
20,27,2021.3.14 0:00,3,6,2,29.1,11,8.8,7.7,19.4,20.47
20,27,2021.3.14 0:00,4,3,3,32.8,9,8.4,7,13.5,22.03
20,28,2021.3.21 0:00,1,11,11,35.1,7,7.2,5.5,16.5,19.91
20,28,2021.3.21 0:00,2,2,0,35.8,10,8.7,6.5,19.1,19.25
20,28,2021.3.21 0:00,3,8,6,33,11,10.5,9.3,21.1,20.98
20,28,2021.3.21 0:00,4,2,3,30,10,9.3,7.2,12.1,21.32
20,29,2021.3.28 0:00,1,10,11,35.2,7,9,6.4,18.1,19.56
20,29,2021.3.28 0:00,2,10,2,40,8,9.3,7,20.2,19.25
20,29,2021.3.28 0:00,3,9,8,39.5,9,12,10.5,21.2,21.37
20,29,2021.3.28 0:00,4,0,2,29.6,10,9,5.7,18.3,21.71
20,30,2021.4.4 0:00,1,6,10,38.5,7,9.1,6.4,18.1,19.58
20,30,2021.4.4 0:00,2,13,10,42,9,11.4,8.8,24.8,20.38
20,30,2021.4.4 0:00,3,8,9,42.2,10,8.6,6.7,24.3,21.71
20,30,2021.4.4 0:00,4,3,0,33.8,10,7,4.9,19.2,22.15
23,4,2020.9.29 0:00,1,0,,29.5,5,12.4,8.7,15.6,12.44
23,4,2020.9.29 0:00,2,0,,31.7,5,12.9,10.4,15.7,12.49
23,4,2020.9.29 0:00,3,0,,28.5,3,11,8.8,16.1,11.97
23,4,2020.9.29 0:00,4,0,,24.6,5,6.9,5.2,15.7,13.69
23,5,2020.10.6 0:00,1,0,0,30.1,6,13,8.6,14.1,13.56
23,5,2020.10.6 0:00,2,0,0,32.2,6,12.5,9.2,18,13.5
23,5,2020.10.6 0:00,3,0,0,29.1,4,12.6,9.2,12.8,13.67
23,5,2020.10.6 0:00,4,0,0,24.4,5,10.5,7.5,12,12.39
23,6,2020.10.13 0:00,1,0,0,32.3,7,14.1,10.2,16.6,14.96
23,6,2020.10.13 0:00,2,0,0,33.8,7,14.8,11.6,15.7,16.77
23,6,2020.10.13 0:00,3,0,0,30.5,5,13,10.2,15.2,14.26
23,6,2020.10.13 0:00,4,0,0,27.5,4,10.8,7.7,12.3,13.54
23,7,2020.10.20 0:00,1,1,0,36.8,4,14.3,10.4,17.1,14.68
